simulation_id,assignment_method,reporting_method,iroas_estimate,iroas_lower,iroas_upper,ci_width,significant
0,Random,MeanMatching,15.544615623321166,-238.30202106474127,49.84528243165574,288.147303496397,False
0,Random,GBR,-0.0003293372421260311,-0.01440374364545875,0.016748183577845233,0.031151927223303982,False
0,Random,TBR,0.08528987461291224,-0.8809433599082809,1.0515231091341053,1.932466469042386,False
0,Random,SCM,0.38561563253101644,-0.928116999507939,1.699348264569972,2.627465264077911,False
1,Random,MeanMatching,-2.626980429701491,-16.44750987081933,2.5195440692509434,18.967053940070276,False
1,Random,GBR,-0.003592125995392683,-0.028460875635238334,0.012661294690184545,0.04112217032542288,False
1,Random,TBR,-0.06570707160088884,-0.2796050153356251,0.14819087213384735,0.42779588746947245,False
1,Random,SCM,0.0113233371991369,-0.6830817748040272,0.705728449202301,1.3888102240063283,False
2,Random,MeanMatching,-12.545003799823933,-56.175030034735926,21.474337305947547,77.64936734068347,False
2,Random,GBR,-0.021069755865319797,-0.04729461209879162,-0.005459625979495746,0.041834986119295876,True
2,Random,TBR,-1.7877992488694752,-2.9389907165574307,-0.6366077811815201,2.3023829353759107,True
2,Random,SCM,-0.982258773116984,-2.5291986172855996,0.5646810710516318,3.0938796883372315,False
3,Random,MeanMatching,-0.5675506986685813,-12.14170849461882,13.460332740400215,25.602041235019037,False
3,Random,GBR,0.006599889003952667,-0.011482591609046614,0.036617825932134536,0.04810041754118115,False
3,Random,TBR,-0.14077111844212709,-0.6258615715999195,0.3443193347156654,0.9701809063155848,False
3,Random,SCM,-0.3248326748459572,-3.3681161688666608,2.7184508191747465,6.086566988041407,False
4,Random,MeanMatching,5.427988399330892,-15.032470103798978,62.478094513467624,77.5105646172666,False
4,Random,GBR,-0.004579032017669968,-0.026282639667660264,0.013228812343664789,0.039511452011325054,False
4,Random,TBR,-0.10871143934505173,-0.8406492088194896,0.6232263301293861,1.4638755389488756,False
4,Random,SCM,0.40057142275270824,-34.715200797741225,35.516343643246636,70.23154444098786,False
5,Random,MeanMatching,-0.8356043395263348,-3.568503496079352,12.17136358683443,15.739867082913781,False
5,Random,GBR,-0.010638577443068087,-0.02522186788860495,0.00959183510369598,0.03481370299230093,False
5,Random,TBR,-0.06473596853062097,-0.30726623856445023,0.17779430150320832,0.48506054006765853,False
5,Random,SCM,-0.14534543240795886,-1.1633391646125522,0.8726482997966345,2.0359874644091867,False
6,Random,MeanMatching,-8.859013543055196,-78.5767841990999,59.68524373807563,138.26202793717553,False
6,Random,GBR,-0.0019719207533038154,-0.021866542215925662,0.014991264207896034,0.03685780642382169,False
6,Random,TBR,-0.11350980901642822,-0.5671267826806835,0.34010716464782703,0.9072339473285105,False
6,Random,SCM,-0.17328390044793268,-5.556357407840558,5.2097896069446925,10.76614701478525,False
7,Random,MeanMatching,0.695779137534811,-8.253035182736165,35.177518450099406,43.43055363283557,False
7,Random,GBR,-0.006300795300396923,-0.027847384516974456,0.017099274158335828,0.04494665867531028,False
7,Random,TBR,-0.20823731667711115,-0.9749693971912593,0.5584947638370371,1.5334641610282964,False
7,Random,SCM,-0.20902752914326753,-3.615339560715733,3.1972845024291976,6.812624063144931,False
8,Random,MeanMatching,-1.6799340919433918,-45.54709792056166,50.2163533219456,95.76345124250726,False
8,Random,GBR,0.000515860358217991,-0.012336134801949068,0.021030544341463675,0.03336667914341274,False
8,Random,TBR,-0.26315303424289943,-1.4329326679064875,0.9066265994206886,2.339559267327176,False
8,Random,SCM,-0.020370640857276617,-3.458781151818868,3.418039870104314,6.876821021923182,False
9,Random,MeanMatching,13.619318634366437,-261.3965266909404,19.215212702306772,280.61173939324715,False
9,Random,GBR,-0.02482405269505296,-0.04902166329381488,-0.0018619485848165743,0.04715971470899831,True
9,Random,TBR,3.970748870592199,1.0459789453869648,6.895518795797434,5.849539850410469,True
9,Random,SCM,2.8233814444568206,0.12340330909236341,5.523359579821278,5.399956270728914,True
10,Random,MeanMatching,0.6814699809030645,-2.663773216874261,25.6134672615498,28.277240478424062,False
10,Random,GBR,-0.01335931948363074,-0.027316419791213895,0.001501517814052059,0.028817937605265954,False
10,Random,TBR,0.2187153083702216,-0.03224617938622425,0.4696767961266674,0.5019229755128917,False
10,Random,SCM,0.2373056897659708,-0.5634549007796154,1.038066280311557,1.6015211810911723,False
11,Random,MeanMatching,0.7070387401061957,-9.092102790587196,18.977060945016486,28.06916373560368,False
11,Random,GBR,0.0057778694056838465,-0.011178729927316998,0.02083815907698021,0.03201688900429721,False
11,Random,TBR,-0.09188829041406205,-0.5867007970096699,0.4029242161815459,0.9896250131912159,False
11,Random,SCM,-0.08554693984542015,-2.724652007648727,2.5535581279578867,5.278210135606614,False
12,Random,MeanMatching,-12.752518941883702,-67.46966902951162,60.00254265237503,127.47221168188665,False
12,Random,GBR,-0.00876954766102588,-0.03211696158606215,0.013626400065614176,0.04574336165167633,False
12,Random,TBR,1.0005825560926096,-0.5729257266350934,2.5740908388203128,3.1470165654554063,False
12,Random,SCM,-0.10223748637624594,-1.1574736619722348,0.952998689219743,2.110472351191978,False
13,Random,MeanMatching,8.198752123475892,-45.92228424304728,70.16566711112968,116.08795135417697,False
13,Random,GBR,-0.008486731367342178,-0.028425079932899774,0.012740280989275208,0.04116536092217498,False
13,Random,TBR,0.6811725461668352,-0.36557560348979407,1.7279206958234645,2.0934962993132586,False
13,Random,SCM,1.2998295886751439,0.7066649038845196,1.892994273465768,1.1863293695812485,True
14,Random,MeanMatching,3.0966621323076153,-5.052847239517249,133.76068721448934,138.81353445400657,False
14,Random,GBR,-0.006734998866235704,-0.029055520426686153,0.02093261167379759,0.049988132100483744,False
14,Random,TBR,0.08044386018895168,-0.26809844687546996,0.42898616725337335,0.6970846141288434,False
14,Random,SCM,0.04673640048676678,-2.7537247341956514,2.8471975351691854,5.600922269364837,False
15,Random,MeanMatching,7.608938065779831,-104.41728447400087,60.563481067354616,164.98076554135548,False
15,Random,GBR,-0.008603289196834682,-0.024361159734062224,0.010933353266761902,0.035294513000824125,False
15,Random,TBR,0.28330714173320426,-0.3274683448002572,0.8940826282666657,1.221550973066923,False
15,Random,SCM,0.5397836543265012,-0.3323870616561513,1.4119543703091537,1.744341431965305,False
16,Random,MeanMatching,7.448222560349342,-36.55386004477088,40.85487822057711,77.40873826534799,False
16,Random,GBR,0.01142768622673932,-0.007861682650599916,0.03544896360465636,0.043310646255256276,False
16,Random,TBR,0.4356412374848091,0.0047262216481819145,0.8665562533214363,0.8618300316732543,True
16,Random,SCM,0.52985262142157,-3.8173771556439915,4.877082398487132,8.694459554131123,False
17,Random,MeanMatching,91.01210036766324,-40.995133840531224,74.47251790440255,115.46765174493378,False
17,Random,GBR,-0.0005755217278203991,-0.016488930978958843,0.013598298881774804,0.030087229860733648,False
17,Random,TBR,2.51203415930538,-4.512393436955783,9.536461755566542,14.048855192522325,False
17,Random,SCM,5.084747603209348,1.703923582557254,8.465571623861443,6.7616480413041895,True
18,Random,MeanMatching,-6.360556837567928,-49.70722017744288,57.63064378758448,107.33786396502737,False
18,Random,GBR,0.0062945746577583684,-0.01558310942261701,0.02478786845392882,0.04037097787654583,False
18,Random,TBR,0.18090889617781042,-0.3706533849521768,0.7324711773077976,1.1031245622599744,False
18,Random,SCM,0.3458685649048336,-3.2859279512008484,3.977665081010515,7.2635930322113635,False
19,Random,MeanMatching,-0.5192604343670615,-7.711633460465836,4.45721281122395,12.168846271689787,False
19,Random,GBR,-0.007294469904104248,-0.03788964848294443,0.012333658523651545,0.050223307006595976,False
19,Random,TBR,-0.06256766310529334,-0.31946915354564887,0.19433382733506221,0.5138029808807111,False
19,Random,SCM,-0.040117936130356656,-13.522346955367931,13.44211108310722,26.96445803847515,False
20,Random,MeanMatching,3.4419833159946744,-43.311929151729814,44.770467936098,88.08239708782781,False
20,Random,GBR,0.005475275656484498,-0.021352419887450232,0.029063184785165928,0.05041560467261616,False
20,Random,TBR,-0.07226033885066521,-0.2872795669808541,0.1427588892795237,0.43003845626037784,False
20,Random,SCM,-0.03853518295324891,-1.4851521456061947,1.4080817796996967,2.8932339253058914,False
21,Random,MeanMatching,-0.9468739793885328,-4.005771172483714,0.03031178832354397,4.036082960807257,False
21,Random,GBR,-0.0033032262011969613,-0.025184618988037654,0.014313382523133217,0.039498001511170874,False
21,Random,TBR,0.0245776399340119,-0.15726583519425938,0.20642111506228317,0.3636869502565425,False
21,Random,SCM,-0.037015648834915385,-1.685849066793821,1.6118177691239903,3.2976668359178114,False
22,Random,MeanMatching,-1.3427323196926342,-7.384245858399951,0.13439775597275347,7.518643614372705,False
22,Random,GBR,0.009003611478406531,-0.01748231830873594,0.03829894813638126,0.0557812664451172,False
22,Random,TBR,-0.1237662900093739,-0.2850986066621676,0.03756602664341974,0.3226646333055873,False
22,Random,SCM,-0.15456329498593788,-0.7905240636658286,0.4813974736939528,1.2719215373597814,False
23,Random,MeanMatching,0.9794799536673757,-42.26506979602964,75.88147692420513,118.14654672023477,False
23,Random,GBR,0.028218561426215913,0.009856418174350087,0.049282028714928774,0.039425610540578686,True
23,Random,TBR,0.8774994459993217,0.39404698133759836,1.360951910661045,0.9669049293234466,True
23,Random,SCM,1.112500258094119,-10.4001514515976,12.625151967785838,23.025303419383437,False
24,Random,MeanMatching,-3.0609250964337,-11.051244021153444,25.50168386477913,36.552927885932576,False
24,Random,GBR,0.01885665425791367,-0.012123724908223974,0.042941764424261654,0.05506548933248563,False
24,Random,TBR,-0.3185643795899603,-0.5513570313421592,-0.08577172783776144,0.46558530350439775,True
24,Random,SCM,-0.3062861901493205,-10.696243058924034,10.083670678625394,20.77991373754943,False
25,Random,MeanMatching,0.481785191037272,-2.6107303656219942,6.267531116389521,8.878261482011515,False
25,Random,GBR,-0.014918503910334256,-0.036116371833604326,0.00809085514066233,0.044207226974266656,False
25,Random,TBR,0.19224226984533327,-0.050731183204436814,0.4352157228951033,0.4859469060995401,False
25,Random,SCM,0.2141246215211856,-1.2245126285500028,1.652761871592374,2.8772745001423767,False
26,Random,MeanMatching,-1.0189963931000257,-2.975613479301209,1.047832640220918,4.023446119522127,False
26,Random,GBR,-0.002262749452527351,-0.019332609048317746,0.009961780191913905,0.02929438924023165,False
26,Random,TBR,-0.020668050432884773,-0.20762338447386902,0.16628728360809947,0.3739106680819685,False
26,Random,SCM,-0.039399963641576795,-3.0958465456446245,3.017046618361471,6.1128931640060955,False
27,Random,MeanMatching,0.8092935342166767,-2.274213089194632,6.077661657078193,8.351874746272825,False
27,Random,GBR,0.00798229749473344,-0.011377879897047994,0.024840173798513082,0.036218053695561074,False
27,Random,TBR,0.07966218843009627,-0.1028190642090415,0.26214344106923404,0.36496250527827556,False
27,Random,SCM,-0.018873265783085347,-0.9641888862200597,0.926442354653889,1.8906312408739487,False
28,Random,MeanMatching,-1.685759467475316,-4.018978658545905,0.4090345736108394,4.428013232156744,False
28,Random,GBR,-0.00532384984755502,-0.019089687791969248,0.006644687087350413,0.025734374879319663,False
28,Random,TBR,-0.006495389366535448,-0.16015215752966552,0.14716137879659463,0.30731353632626013,False
28,Random,SCM,-0.056542640382290246,-4.560909131059788,4.447823850295206,9.008732981354994,False
29,Random,MeanMatching,-4.12805935690209,-20.5079743496723,29.28147284316914,49.789447192841436,False
29,Random,GBR,0.021753490741740825,-0.002250397063137623,0.042375811248343734,0.044626208311481355,False
29,Random,TBR,-0.2316076843212423,-0.5119187260633529,0.04870335742086827,0.5606220834842212,False
29,Random,SCM,-0.10833667707300587,-2.603869689652469,2.3871963355064567,4.991066025158926,False
